,content,time,author
0,Collecting up to 100 messages from channel autofill-stories,2021-08-30 16:38:42.401,Barbara
1,%messages collect 100,2021-08-30 16:38:42.227,SWEET CAROLINE...BUM BUM BUM
2,"But I'm not sure

About what to do after a fight

And if it’s okay to bring a gun into a bar

I guess that makes us cousins, too.

We know you think differently.",2021-08-30 16:24:55.415,Barbara
3,%prompt But I'm,2021-08-30 16:24:55.236,bluejay
4,I hope I didn't get lost in your neighborhood last night. But I'm,2021-08-30 05:02:01.606,ToddMannEQuinn
5,Oh wow I think I might have been a little more aggressive. I hope I didn't,2021-08-30 04:52:06.467,Elemondrop
6,Once complete with a new friend I will have to bring a few more shots. Oh wow,2021-08-30 04:49:25.353,aria
7,To connect to the server using a new user name and she will have you send it to me. Once complete,2021-08-30 03:36:43.024,ToddMannEQuinn
8,"To connect to a server using a shell script is a good practice. 

The shell script is always faster than command line tool.
You can use the command line tool if you are using it regularly, but the shell script makes the process",2021-08-30 03:36:15.945,Barbara
9,%prompt To connect to a server using a,2021-08-30 03:36:15.776,moose_123_
10,"if so, you can use it in order to connect to the server.

The other method is to specify a username-password pair that will be used as the connection password when authentication is required.

To connect to a server using a",2021-08-30 03:35:48.934,Barbara
11,"%prompt if so, you can use it in order to connect to the server.",2021-08-30 03:35:48.777,ToddMannEQuinn
12,"If so, you can use it in order to connect to the server.",2021-08-30 03:34:54.155,Barbara
13,"%prompt If so, you",2021-08-30 03:34:53.990,moose_123_
14,"Have you tried to break free from your computer? If so, you",2021-08-30 03:31:28.643,ToddMannEQuinn
15,https://discord.gg/RHP9jXq9rD,2021-08-30 01:56:13.121,moose_123_
16,actually wanna beta test now?,2021-08-30 01:55:04.759,moose_123_
17,but maybe wait 10 minutes bc big update coming soon,2021-08-30 01:54:58.298,moose_123_
18,everything! run %help in <#856301371577598002>,2021-08-30 01:54:47.429,moose_123_
19,What does Barbara do?,2021-08-30 01:52:34.578,bluejay
20,Prayers are with the kids and then we shall tickle you. Have you,2021-08-30 01:52:11.141,bluejay
21,(When the update drops),2021-08-30 00:23:00.936,moose_123_
22,(Tomorrow),2021-08-30 00:22:50.155,moose_123_
23,"You know, <@863912165757026304> is gonna completely revolutionize this channel",2021-08-30 00:21:27.118,moose_123_
24,"Still, if we have to go back and forth with him and the diamonds that are not in our prayers",2021-08-29 20:20:23.649,Nic
25,"If you are you. Still,",2021-08-27 18:27:07.139,bluejay
26,Be safe cause I’m not gonna be able to sleep until tomorrow morning on earth if,2021-08-27 18:17:35.367,Jackiepooh
27,I’m sure they will be fine but they are not just a good thing to be,2021-08-27 17:43:00.304,moose_123_
28,So when you get a chance can you call me please? I'm,2021-08-27 17:38:40.761,bluejay
29,They're just not supposed to do that. So when,2021-08-27 16:34:22.691,ToddMannEQuinn
30,But if you don't want to go there with the mean the other one can.  They're,2021-08-27 16:14:57.963,Elemondrop
31,Thank god,2021-08-27 06:09:24.826,ToddMannEQuinn
32,Autofill doesn't know my (ex) crush lmao,2021-08-27 06:09:09.214,ToddMannEQuinn
33,And then murder the people who want to know my crush. But if you don't,2021-08-27 06:08:54.532,ToddMannEQuinn
34,What if we have to go back to school? And then,2021-08-25 20:35:09.877,bluejay
35,I have a second idea. What if we,2021-08-25 19:11:35.901,ToddMannEQuinn
36,"Again, do you want to go to work today? I have",2021-08-25 18:43:18.112,bluejay
37,"That is not supposed to happen. Again, do",2021-08-25 08:18:01.335,ToddMannEQuinn
38,so yeah,2021-08-25 04:32:32.388,ToddMannEQuinn
39,(Including Aria after I written the thing),2021-08-25 04:32:22.442,ToddMannEQuinn
40,It takes words you say a lot and puts them into the autocorrect inventory,2021-08-25 04:31:23.939,Jackiepooh
41,Yes it is,2021-08-25 04:30:49.446,Jackiepooh
42,That is not even possible. But if you,2021-08-25 04:30:42.947,ToddMannEQuinn
43,\/j,2021-08-25 04:29:23.415,ToddMannEQuinn
44,Sure,2021-08-25 04:29:14.823,ToddMannEQuinn
45,Sure,2021-08-25 04:29:14.112,ToddMannEQuinn
46,Hey it was autocorrect not me,2021-08-25 04:29:06.638,Jackiepooh
47,You seem really adept at bring back dead ships,2021-08-25 04:28:46.431,ToddMannEQuinn
48,Hey jackson can you bring back the titanic?,2021-08-25 04:28:35.956,ToddMannEQuinn
49,👀,2021-08-25 04:28:27.810,ToddMannEQuinn
50,Don’t forget about mabjia or not even in photoshop stuff that,2021-08-25 04:28:05.633,Jackiepooh
51,To see if you can get a new friend from the store. I don’t,2021-08-25 03:23:57.855,aria
52,ya know what time works best for you to,2021-08-24 17:19:08.766,bluejay
53,Otherwise we good night lol ya know,2021-08-24 08:19:52.835,vaughnledley
54,And the boys would love to help me out with the attempted coup. Otherwise,2021-08-24 06:06:11.677,ToddMannEQuinn
55,Didn’t do anything to help with the kids and the boys,2021-08-24 04:35:53.634,Jackiepooh
56,"The guy who was in the middle of something like a movie. Though, he didn't",2021-08-24 04:20:00.756,ToddMannEQuinn
57,me and i just went out and watched the movie lol i was like yeah yeah that’s what i’m saying i just like the guy,2021-08-24 01:32:45.162,shocollo
58,Can eat it and then go watch the movie with me,2021-08-24 01:02:52.868,Jackiepooh
59,We'll go to get you a list of people in your neighborhood. So you can,2021-08-24 00:49:56.387,ToddMannEQuinn
60,So go ahead to the first episode of this park and then we’ll go to get,2021-08-24 00:41:32.292,moose_123_
61,Till the next year or two. So go,2021-08-24 00:40:30.847,ToddMannEQuinn
62,At night so we could also go back to sleep till,2021-08-22 00:31:20.290,bluejay
63,But it still in my oh my God is a good color and I wouldn't have any other color. At night,2021-08-22 00:05:24.732,Elemondrop
64,Let me know when you get the money for the tickets. But,2021-08-21 21:31:09.390,ToddMannEQuinn
65,The moon is cheese and crackers and then I ate breakfast. Let me know,2021-08-21 21:26:11.001,bluejay
66,you can get it from your house and if you get it done then you can buy a few things from the moon,2021-08-21 17:00:05.518,sir
67,"Unless you want to be there for the first time, you can",2021-08-21 16:23:59.001,bluejay
68,"Next time that you get your hands full with malicious intent, you can go punch that dude. Unless",2021-08-21 02:02:26.623,ToddMannEQuinn
69,"If so, the boots will have a lot more than you want. Next time",2021-08-21 02:01:28.840,Elemondrop
70,"Do you think that you might find out if you were going to plan a day? If so,",2021-08-21 00:04:34.770,ToddMannEQuinn
71,I'm not going on a date but I'm just going with you guys. Do you think,2021-08-20 22:46:55.673,Elemondrop
72,"But now, I’m sure you can get a good idea. I’m not going on",2021-08-20 22:45:10.191,AnjoBanjo
73,"So you can get some Fareboot grape juice with steak and cheese for a while. But now,",2021-08-20 22:33:34.358,ToddMannEQuinn
74,Otherwise you have a lot more than the same thing as a single family. So you,2021-08-20 22:27:36.183,Elemondrop
75,But nothing that involves the need for an additional part. Otherwise,2021-08-20 21:53:54.980,ToddMannEQuinn
76,"Well, for 1 birthday card I can just buy a new one. But",2021-08-20 21:51:01.059,emilypeng
77,"Why would you want to try to get into the office? Well, for 1",2021-08-20 18:13:58.435,ToddMannEQuinn
78,Hopefully it was really fun to watch the movie. Why,2021-08-20 18:12:09.702,Elemondrop
79,So it's not too late to get to the office. Hopefully,2021-08-20 18:07:46.859,bluejay
80,Then like I said I don’t think I can do anything. So it’s not,2021-08-20 03:19:48.195,emilypeng
81,Unless you want to see a few more people then like 👍,2021-08-20 02:51:05.074,sir
82,You're actually about to get some of the good stuff. Unless,2021-08-20 00:22:23.629,ToddMannEQuinn
83,"Anyway, I'll just leave the door open and I will let you know if you need anything. You're",2021-08-19 23:48:22.281,EmmaWemma
84,"That being said, i cant wait to get a pic of the guy on google images. Anyway,",2021-08-19 23:41:18.443,ramis !
85,"I'm not sure if I remember if she didn't like the fact that she was growing weaker. That being said,",2021-08-19 23:38:37.900,ToddMannEQuinn
86,If it wasn’t for the other one I would have liked to see it. I’m not sure,2021-08-19 23:34:20.596,aria
87,So I will have to go back to school. If it wasn't for,2021-08-19 21:39:34.482,bluejay
88,I know that you will be out of the office for the next few minutes. So I will,2021-08-19 16:34:48.734,ToddMannEQuinn
89,Except for when we were talking about the Red Wine. I know,2021-08-19 16:13:51.184,bluejay
90,"(hey! when you do these, make sure to start with the last word of the previous message. thank you!)",2021-08-19 05:05:25.850,rat
91,I did get that too far but not too good luck on my bed lol,2021-08-19 04:34:52.215,vaughnledley
92,I hate it when you have a nice day. Except for,2021-08-19 03:09:03.994,ToddMannEQuinn
93,Maybe you could still have a grade level as a kid. I hate it when,2021-08-19 03:06:41.956,Elemondrop
94,"Even though it is not a good thing, you can do it yourself. Maybe",2021-08-19 02:23:15.616,emilypeng
95,I love what I got autofulled there,2021-08-19 02:18:28.362,ToddMannEQuinn
96,I love cooking and making jams for my dear friends. Even though,2021-08-19 02:18:15.805,ToddMannEQuinn
97,Even though it is not a normal one. I love,2021-08-19 02:17:17.659,emilypeng
98,In fact the most recent one was the first time. Even though,2021-08-18 23:37:08.292,ToddMannEQuinn
99,"When that happens just like the Cool Kid you have a wonderful day. In fact,",2021-08-18 23:26:03.934,bluejay
